ID,VI1,VI2,VD
sgzOS2fK2KbeTpyQe7pqNw**,9,1,0
sgzOS2fK2KbeTpyQe7pqNw**,6,1,0
sgzOS2fK2KbeTpyQe7pqNw**,2,2,1
sgzOS2fK2KbeTpyQe7pqNw**,1,1,0
sgzOS2fK2KbeTpyQe7pqNw**,1,2,1
sgzOS2fK2KbeTpyQe7pqNw**,12,2,1
sgzOS2fK2KbeTpyQe7pqNw**,9,2,1
sgzOS2fK2Ka00YhHT45ssg**,9,2,1
sgzOS2fK2Ka00YhHT45ssg**,3,1,1
sgzOS2fK2Ka00YhHT45ssg**,24,1,1
sgzOS2fK2Ka00YhHT45ssg**,1,1,0
sgzOS2fK2Ka00YhHT45ssg**,2,1,1
sgzOS2fK2Ka00YhHT45ssg**,1,1,0
sgzOS2fK2Ka00YhHT45ssg**,6,1,1
sgzOS2fK2Ka00YhHT45ssg**,6,1,1
sgzOS2fK2Ka00YhHT45ssg**,4,1,1
sgzOS2fK2Ka00YhHT45ssg**,4,2,0
sgzOS2fK2Ka00YhHT45ssg**,9,1,1
sgzOS2fK2Ka00YhHT45ssg**,36,2,1
sgzOS2fK2Ka00YhHT45ssg**,9,2,1
sgzOS2fK2Ka00YhHT45ssg**,4,2,1
sgzOS2fK2Ka00YhHT45ssg**,2,2,0
sgzOS2fK2Ka00YhHT45ssg**,6,2,1
sgzOS2fK2Ka00YhHT45ssg**,3,2,1
sgzOS2fK2Ka00YhHT45ssg**,2,2,1
sgzOS2fK2Ka00YhHT45ssg**,12,2,1
sgzOS2fK2Ka00YhHT45ssg**,12,1,1
sgzOS2fK2Ka00YhHT45ssg**,1,2,1
sgzOS2fK2Ka00YhHT45ssg**,12,1,1
sgzOS2fK2Ka00YhHT45ssg**,24,2,1
sgzOS2fK2Ka00YhHT45ssg**,3,1,1
sgzOS2fK2Ka00YhHT45ssg**,18,2,1
sgzOS2fK2KYRU_5O9IOKBA**,9,2,1
sgzOS2fK2KYRU_5O9IOKBA**,3,2,1
sgzOS2fK2KYRU_5O9IOKBA**,24,2,1
sgzOS2fK2KYRU_5O9IOKBA**,2,1,0
sgzOS2fK2KYRU_5O9IOKBA**,2,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,9,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,18,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,36,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,9,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,1,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,3,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,2,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,4,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,6,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,3,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,9,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,12,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,3,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,24,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,4,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,12,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,6,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,1,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,24,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,2,1,1
sgzOS2fK2Ka_m8CVoN5G-A**,4,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,12,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,1,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,2,2,1
sgzOS2fK2Ka_m8CVoN5G-A**,6,2,1
sgzOS2fK2KbQ5VYdC87pdg**,3,1,0
sgzOS2fK2KbQ5VYdC87pdg**,12,2,0
sgzOS2fK2KbQ5VYdC87pdg**,2,1,1
sgzOS2fK2KbQ5VYdC87pdg**,12,1,1
sgzOS2fK2KbQ5VYdC87pdg**,6,1,0
sgzOS2fK2KbQ5VYdC87pdg**,1,2,0
sgzOS2fK2KbQ5VYdC87pdg**,1,1,0
sgzOS2fK2KbQ5VYdC87pdg**,9,1,1
sgzOS2fK2KbQ5VYdC87pdg**,36,1,1
sgzOS2fK2KbQ5VYdC87pdg**,6,2,0
sgzOS2fK2KbQ5VYdC87pdg**,2,2,1
sgzOS2fK2KbQ5VYdC87pdg**,6,2,0
sgzOS2fK2KbQ5VYdC87pdg**,12,2,0
sgzOS2fK2KZrvSrxnQ_nPQ**,9,1,0
sgzOS2fK2KZrvSrxnQ_nPQ**,1,2,0
sgzOS2fK2KZrvSrxnQ_nPQ**,2,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,2,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,3,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,6,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,18,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,12,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,9,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,1,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,24,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,12,2,0
sgzOS2fK2KZrvSrxnQ_nPQ**,3,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,12,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,24,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,9,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,4,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,3,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,1,2,1
sgzOS2fK2KZrvSrxnQ_nPQ**,2,1,1
sgzOS2fK2KZrvSrxnQ_nPQ**,6,1,1
sgzOS2fK2KY-3QW_YvXNMg**,12,2,1
sgzOS2fK2KY-3QW_YvXNMg**,2,1,0
sgzOS2fK2KY-3QW_YvXNMg**,4,1,1
sgzOS2fK2KY-3QW_YvXNMg**,4,2,1
sgzOS2fK2KY-3QW_YvXNMg**,2,1,1
sgzOS2fK2KY-3QW_YvXNMg**,12,2,1
sgzOS2fK2KY-3QW_YvXNMg**,3,2,0
sgzOS2fK2KY-3QW_YvXNMg**,1,2,0
sgzOS2fK2KY-3QW_YvXNMg**,1,1,1
sgzOS2fK2KY-3QW_YvXNMg**,24,2,1
sgzOS2fK2KY-3QW_YvXNMg**,4,1,1
sgzOS2fK2KY-3QW_YvXNMg**,6,2,1
sgzOS2fK2KY-3QW_YvXNMg**,6,1,1
sgzOS2fK2KY-3QW_YvXNMg**,18,1,1
sgzOS2fK2KY-3QW_YvXNMg**,36,1,1
sgzOS2fK2KY-3QW_YvXNMg**,12,1,1
sgzOS2fK2KY-3QW_YvXNMg**,6,2,1
sgzOS2fK2KY-3QW_YvXNMg**,9,2,1
sgzOS2fK2KY-3QW_YvXNMg**,1,2,1
sgzOS2fK2KY-3QW_YvXNMg**,2,2,1
sgzOS2fK2KY-3QW_YvXNMg**,3,1,1
sgzOS2fK2KY-3QW_YvXNMg**,24,1,1
sgzOS2fK2KY-3QW_YvXNMg**,3,2,1
sgzOS2fK2KY-3QW_YvXNMg**,9,1,1
sgzOS2fK2KY-3QW_YvXNMg**,9,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,18,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,12,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,9,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,9,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,3,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,1,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,2,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,24,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,36,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,6,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,4,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,3,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,4,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,6,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,2,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,4,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,2,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,3,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,1,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,12,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,9,1,1
sgzOS2fK2Ka2eaf1l0eb1A**,1,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,6,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,24,2,1
sgzOS2fK2Ka2eaf1l0eb1A**,12,2,1
sgzOS2fK2KZPczVGCyyZhw**,4,1,0
sgzOS2fK2KZPczVGCyyZhw**,12,1,0
sgzOS2fK2KZPczVGCyyZhw**,6,1,0
sgzOS2fK2KZPczVGCyyZhw**,6,1,1
sgzOS2fK2KZPczVGCyyZhw**,12,1,1
sgzOS2fK2KZPczVGCyyZhw**,1,2,0
sgzOS2fK2KZPczVGCyyZhw**,4,2,0
sgzOS2fK2KZPczVGCyyZhw**,36,2,1
sgzOS2fK2KZPczVGCyyZhw**,9,2,1
sgzOS2fK2KZPczVGCyyZhw**,9,1,0
sgzOS2fK2KZPczVGCyyZhw**,24,1,1
sgzOS2fK2KZPczVGCyyZhw**,1,1,1
sgzOS2fK2KZPczVGCyyZhw**,12,2,1
sgzOS2fK2KZPczVGCyyZhw**,3,2,0
sgzOS2fK2KZPczVGCyyZhw**,6,2,1
sgzOS2fK2KZPczVGCyyZhw**,3,1,0
sgzOS2fK2KZPczVGCyyZhw**,2,2,0
sgzOS2fK2KZPczVGCyyZhw**,2,2,1
sgzOS2fK2KZPczVGCyyZhw**,3,1,1
sgzOS2fK2KZPczVGCyyZhw**,1,1,0
sgzOS2fK2KZPczVGCyyZhw**,4,2,1
sgzOS2fK2KZPczVGCyyZhw**,18,2,1
sgzOS2fK2KYw95SlFhDr2A**,9,1,1
sgzOS2fK2KYw95SlFhDr2A**,3,2,1
sgzOS2fK2KYw95SlFhDr2A**,36,1,1
sgzOS2fK2KYw95SlFhDr2A**,4,1,0
sgzOS2fK2KYw95SlFhDr2A**,2,1,1
sgzOS2fK2KYw95SlFhDr2A**,2,1,1
sgzOS2fK2KYw95SlFhDr2A**,1,2,0
sgzOS2fK2KYw95SlFhDr2A**,4,2,1
sgzOS2fK2KYw95SlFhDr2A**,12,1,1
sgzOS2fK2KYw95SlFhDr2A**,2,2,1
sgzOS2fK2KYw95SlFhDr2A**,4,1,1
sgzOS2fK2KYw95SlFhDr2A**,12,2,1
sgzOS2fK2KYw95SlFhDr2A**,6,2,1
sgzOS2fK2KYw95SlFhDr2A**,6,2,0
sgzOS2fK2KYw95SlFhDr2A**,3,2,1
sgzOS2fK2KYw95SlFhDr2A**,1,2,1
sgzOS2fK2KYw95SlFhDr2A**,6,1,1
sgzOS2fK2KYw95SlFhDr2A**,12,2,1
sgzOS2fK2KYw95SlFhDr2A**,1,1,1
sgzOS2fK2KYw95SlFhDr2A**,3,1,1
sgzOS2fK2KYw95SlFhDr2A**,24,1,1
sgzOS2fK2KYw95SlFhDr2A**,9,2,1
sgzOS2fK2KYw95SlFhDr2A**,24,2,1
sgzOS2fK2KYw95SlFhDr2A**,9,1,1
sgzOS2fK2KYw95SlFhDr2A**,18,1,1
sgzOS2fK2KYnTEv6hS1imQ**,2,2,1
sgzOS2fK2Kadn40ZhRHwcA**,1,2,1
sgzOS2fK2Kadn40ZhRHwcA**,6,2,1
sgzOS2fK2Kadn40ZhRHwcA**,2,2,1
sgzOS2fK2Kadn40ZhRHwcA**,1,1,0
sgzOS2fK2Kadn40ZhRHwcA**,4,2,1
sgzOS2fK2Kadn40ZhRHwcA**,24,2,1
sgzOS2fK2Kadn40ZhRHwcA**,3,2,1
sgzOS2fK2Kadn40ZhRHwcA**,12,2,1
sgzOS2fK2Kadn40ZhRHwcA**,3,2,1
sgzOS2fK2Kadn40ZhRHwcA**,12,2,1
sgzOS2fK2Kadn40ZhRHwcA**,9,1,1
sgzOS2fK2Kadn40ZhRHwcA**,6,2,1
sgzOS2fK2Kadn40ZhRHwcA**,9,1,1
sgzOS2fK2Kadn40ZhRHwcA**,4,1,1
sgzOS2fK2Kadn40ZhRHwcA**,9,2,1
sgzOS2fK2Kadn40ZhRHwcA**,3,1,0
sgzOS2fK2Kadn40ZhRHwcA**,18,1,1
sgzOS2fK2Kadn40ZhRHwcA**,2,1,1
sgzOS2fK2Kadn40ZhRHwcA**,1,2,1
sgzOS2fK2Kadn40ZhRHwcA**,12,1,1
sgzOS2fK2Kadn40ZhRHwcA**,6,1,1
sgzOS2fK2Kadn40ZhRHwcA**,24,1,1
sgzOS2fK2Kadn40ZhRHwcA**,2,1,1
sgzOS2fK2Kadn40ZhRHwcA**,4,1,0
sgzOS2fK2Kadn40ZhRHwcA**,36,1,1
sgzOS2fK2Ka9Qg1hxe-CwA**,6,1,0
sgzOS2fK2Ka9Qg1hxe-CwA**,24,2,1
sgzOS2fK2Ka9Qg1hxe-CwA**,2,1,1
sgzOS2fK2Ka9Qg1hxe-CwA**,12,1,0
sgzOS2fK2Ka9Qg1hxe-CwA**,12,1,0
sgzOS2fK2Ka9Qg1hxe-CwA**,9,2,1
sgzOS2fK2Ka9Qg1hxe-CwA**,4,1,0
sgzOS2fK2Ka9Qg1hxe-CwA**,3,2,0
sgzOS2fK2KYu6en9fye9Rg**,4,2,0
sgzOS2fK2KYu6en9fye9Rg**,12,1,1
sgzOS2fK2KYu6en9fye9Rg**,2,1,1
sgzOS2fK2KYu6en9fye9Rg**,3,2,1
sgzOS2fK2KYu6en9fye9Rg**,9,1,1
sgzOS2fK2KYu6en9fye9Rg**,9,2,1
sgzOS2fK2KYu6en9fye9Rg**,4,2,1
sgzOS2fK2KYu6en9fye9Rg**,1,2,0
sgzOS2fK2KYu6en9fye9Rg**,6,2,1
sgzOS2fK2KYu6en9fye9Rg**,9,2,1
sgzOS2fK2KYu6en9fye9Rg**,6,1,1
sgzOS2fK2KYu6en9fye9Rg**,2,2,0
sgzOS2fK2KYu6en9fye9Rg**,4,1,1
sgzOS2fK2KYu6en9fye9Rg**,24,1,1
sgzOS2fK2KYu6en9fye9Rg**,3,1,1
sgzOS2fK2KYu6en9fye9Rg**,1,1,1
sgzOS2fK2KYu6en9fye9Rg**,18,2,0
sgzOS2fK2KYu6en9fye9Rg**,6,1,1
sgzOS2fK2KYu6en9fye9Rg**,12,1,1
sgzOS2fK2KYu6en9fye9Rg**,12,2,1
sgzOS2fK2KYu6en9fye9Rg**,2,2,1
sgzOS2fK2KYu6en9fye9Rg**,24,2,1
sgzOS2fK2KYu6en9fye9Rg**,36,2,1
sgzOS2fK2KYu6en9fye9Rg**,1,1,1
sgzOS2fK2KYu6en9fye9Rg**,3,1,1
sgzOS2fK2KYhSK2GJz9_DA**,2,1,1
sgzOS2fK2KYhSK2GJz9_DA**,3,2,1
sgzOS2fK2KYhSK2GJz9_DA**,24,1,1
sgzOS2fK2KYhSK2GJz9_DA**,6,1,1
sgzOS2fK2KYhSK2GJz9_DA**,9,1,1
sgzOS2fK2KYhSK2GJz9_DA**,2,2,1
sgzOS2fK2KYhSK2GJz9_DA**,12,2,1
sgzOS2fK2KYhSK2GJz9_DA**,18,1,1
sgzOS2fK2KYhSK2GJz9_DA**,24,2,1
sgzOS2fK2KYhSK2GJz9_DA**,4,2,1
sgzOS2fK2KYhSK2GJz9_DA**,3,2,1
sgzOS2fK2KYhSK2GJz9_DA**,12,1,1
sgzOS2fK2KYhSK2GJz9_DA**,1,1,1
sgzOS2fK2KYhSK2GJz9_DA**,2,1,1
sgzOS2fK2KYhSK2GJz9_DA**,4,1,1
sgzOS2fK2KYhSK2GJz9_DA**,9,2,1
sgzOS2fK2KYhSK2GJz9_DA**,6,2,1
sgzOS2fK2KYhSK2GJz9_DA**,1,2,1
sgzOS2fK2KYhSK2GJz9_DA**,4,1,1
sgzOS2fK2KYhSK2GJz9_DA**,6,2,1
sgzOS2fK2KYhSK2GJz9_DA**,36,1,1
sgzOS2fK2KYhSK2GJz9_DA**,1,2,1
sgzOS2fK2KYhSK2GJz9_DA**,12,2,1
sgzOS2fK2KYhSK2GJz9_DA**,3,1,1
sgzOS2fK2KYhSK2GJz9_DA**,9,1,1
sgzOS2fK2KZy_47XOHjYcQ**,6,1,1
sgzOS2fK2KZy_47XOHjYcQ**,24,2,1
sgzOS2fK2KZy_47XOHjYcQ**,12,2,1
sgzOS2fK2KZy_47XOHjYcQ**,3,2,1
sgzOS2fK2KZy_47XOHjYcQ**,4,1,1
sgzOS2fK2KZy_47XOHjYcQ**,4,2,1
sgzOS2fK2KZy_47XOHjYcQ**,6,2,1
sgzOS2fK2KZy_47XOHjYcQ**,9,1,1
sgzOS2fK2KZy_47XOHjYcQ**,36,1,1
sgzOS2fK2KZy_47XOHjYcQ**,3,2,1
sgzOS2fK2KZy_47XOHjYcQ**,1,2,1
sgzOS2fK2KZy_47XOHjYcQ**,9,2,1
sgzOS2fK2KZy_47XOHjYcQ**,6,2,1
sgzOS2fK2KZy_47XOHjYcQ**,24,1,1
sgzOS2fK2KZy_47XOHjYcQ**,9,1,1
sgzOS2fK2KZy_47XOHjYcQ**,2,2,1
sgzOS2fK2KZy_47XOHjYcQ**,1,1,1
sgzOS2fK2KZy_47XOHjYcQ**,12,1,1
sgzOS2fK2KZy_47XOHjYcQ**,18,1,1
sgzOS2fK2KZy_47XOHjYcQ**,4,1,1
sgzOS2fK2KZy_47XOHjYcQ**,12,2,1
sgzOS2fK2KZy_47XOHjYcQ**,2,1,1
sgzOS2fK2KZy_47XOHjYcQ**,1,2,1
sgzOS2fK2KZy_47XOHjYcQ**,3,1,1
sgzOS2fK2KZy_47XOHjYcQ**,2,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,9,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,12,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,24,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,2,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,9,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,36,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,6,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,2,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,2,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,18,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,12,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,4,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,3,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,4,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,6,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,3,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,1,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,6,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,1,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,9,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,1,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,12,2,1
sgzOS2fK2KZE4y3JxuZoUQ**,4,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,3,1,1
sgzOS2fK2KZE4y3JxuZoUQ**,24,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,6,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,3,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,2,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,6,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,9,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,24,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,12,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,36,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,3,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,18,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,4,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,2,1,0
sgzOS2fK2KZRSLMXdSnKuQ**,3,1,0
sgzOS2fK2KZRSLMXdSnKuQ**,24,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,6,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,1,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,9,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,12,1,0
sgzOS2fK2KZRSLMXdSnKuQ**,1,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,2,2,1
sgzOS2fK2KZRSLMXdSnKuQ**,4,1,1
sgzOS2fK2KZRSLMXdSnKuQ**,9,2,0
sgzOS2fK2KZRSLMXdSnKuQ**,12,2,1
sgzOS2fK2KZRSLMXdSnKuQ**,1,1,1
sgzOS2fK2KZyeOMnbOBP3A**,24,1,1
sgzOS2fK2KZyeOMnbOBP3A**,2,2,1
sgzOS2fK2KZyeOMnbOBP3A**,6,1,1
sgzOS2fK2KZyeOMnbOBP3A**,12,2,1
sgzOS2fK2KZyeOMnbOBP3A**,1,2,0
sgzOS2fK2KZyeOMnbOBP3A**,9,1,1
sgzOS2fK2KZyeOMnbOBP3A**,6,2,1
sgzOS2fK2KZyeOMnbOBP3A**,3,2,1
sgzOS2fK2KZyeOMnbOBP3A**,2,1,1
sgzOS2fK2KZyeOMnbOBP3A**,4,1,1
sgzOS2fK2KZyeOMnbOBP3A**,12,1,1
sgzOS2fK2KZyeOMnbOBP3A**,2,1,0
sgzOS2fK2KZyeOMnbOBP3A**,12,2,1
sgzOS2fK2KZyeOMnbOBP3A**,6,2,1
sgzOS2fK2KZyeOMnbOBP3A**,3,1,1
sgzOS2fK2KZyeOMnbOBP3A**,18,1,1
sgzOS2fK2KZyeOMnbOBP3A**,9,2,1
sgzOS2fK2KZyeOMnbOBP3A**,4,1,1
sgzOS2fK2KZyeOMnbOBP3A**,3,2,1
sgzOS2fK2KZyeOMnbOBP3A**,36,1,1
sgzOS2fK2KZyeOMnbOBP3A**,1,1,1
sgzOS2fK2KZyeOMnbOBP3A**,24,2,1
sgzOS2fK2KZyeOMnbOBP3A**,4,2,1
sgzOS2fK2KZyeOMnbOBP3A**,9,1,1
sgzOS2fK2KZyeOMnbOBP3A**,1,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,36,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,1,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,12,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,3,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,6,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,2,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,1,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,6,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,2,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,12,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,9,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,3,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,4,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,4,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,12,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,1,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,4,2,0
sgzOS2fK2Kbkz0pxjTYiCQ**,18,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,3,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,24,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,24,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,6,1,1
sgzOS2fK2Kbkz0pxjTYiCQ**,9,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,2,2,1
sgzOS2fK2Kbkz0pxjTYiCQ**,9,1,1
sgzOS2fK2KaePFsB62e_8A**,6,1,1
sgzOS2fK2KaePFsB62e_8A**,6,1,1
sgzOS2fK2KaePFsB62e_8A**,3,1,1
sgzOS2fK2KaePFsB62e_8A**,9,2,1
sgzOS2fK2KaePFsB62e_8A**,1,1,1
sgzOS2fK2KaePFsB62e_8A**,4,2,1
sgzOS2fK2KaePFsB62e_8A**,1,2,1
sgzOS2fK2KaePFsB62e_8A**,18,2,1
sgzOS2fK2KaePFsB62e_8A**,3,1,1
