OBSID,WEIV,INDV,DEPV,PARTID
13,4,0,3.960086481,4
14,3.057692308,1.7,14.95708494,4
15,3,0.7,3.458352916,4
16,2.942307692,3.5,2.59908144,4
17,3.9,4.1,11.05000064,4
18,3.4,3.3,11.55129426,4
19,3.1,25.6,15.17420217,4
20,3.5,11.7,2.009870866,4
21,3.403846154,5.9,4.326023924,4
22,3.4,9.6,3.783297738,4
1,3.557692308,1.2,1.839036644,5
2,3.173076923,5.4,4.796458122,5
3,3.923076923,8,7.2732236,5
4,2.942307692,6.3,5.895107638,5
5,3.1,16.1,9.958772174,5
6,3.75,22.5,7.820025099,5
7,3.1,3.7,6.811706563,5
8,2.8,11.1,14.39057246,5
9,3.5,11.6,11.37650718,5
10,3.75,1.6,3.15056402,5
11,2.9,8.8,8.878331944,5
12,3.5,2.9,2.519457431,5
13,4,0,4.821423937,5
14,3.057692308,1.7,5.341274996,5
15,3,0.7,2.608590393,5
16,2.942307692,3.5,2.740065623,5
17,3.9,4.1,4.687165235,5
18,3.4,3.3,5.609447383,5
19,3.1,25.6,14.61848175,5
20,3.5,11.7,2.120832414,5
21,3.403846154,5.9,4.869432447,5
22,3.4,9.6,9.543928003,5
1,3.557692308,1.2,2.079000921,6
2,3.173076923,5.4,10.8387613,6
3,3.923076923,8,9.503628423,6
4,2.942307692,6.3,7.293585728,6
5,3.1,16.1,20.54299104,6
6,3.75,22.5,25.45586222,6
7,3.1,3.7,8.509526812,6
8,2.8,11.1,16.27644421,6
9,3.5,11.6,13.00445206,6
10,3.75,1.6,1.793164127,6
11,2.9,8.8,25.70537353,6
12,3.5,2.9,8.898717168,6
13,4,0,0.949202218,6
14,3.057692308,1.7,4.480230467,6
15,3,0.7,4.642389892,6
16,2.942307692,3.5,3.283531493,6
17,3.9,4.1,4.849403994,6
18,3.4,3.3,7.371023851,6
19,3.1,25.6,23.56071451,6
20,3.5,11.7,5.134458935,6
21,3.403846154,5.9,12.92185073,6
22,3.4,9.6,7.105044739,6
1,3.557692308,1.2,2.921075386,7
2,3.173076923,5.4,6.114268291,7
3,3.923076923,8,5.880838358,7
4,2.942307692,6.3,2.608021856,7
5,3.1,16.1,9.84335642,7
6,3.75,22.5,8.685434789,7
7,3.1,3.7,4.368495315,7
8,2.8,11.1,18.05122274,7
9,3.5,11.6,5.184772435,7
10,3.75,1.6,1.136779853,7
11,2.9,8.8,9.192884927,7
12,3.5,2.9,1.44138825,7
13,4,0,1.024761046,7
14,3.057692308,1.7,4.100761037,7
15,3,0.7,1.129687398,7
16,2.942307692,3.5,17.4257453,7
17,3.9,4.1,5.467479215,7
18,3.4,3.3,7.315128206,7
19,3.1,25.6,27.99748565,7
20,3.5,11.7,8.099361931,7
21,3.403846154,5.9,4.817311217,7
22,3.4,9.6,6.80664433,7
1,3.557692308,1.2,2.44003576,8
2,3.173076923,5.4,11.50140998,8
3,3.923076923,8,10.00613984,8
4,2.942307692,6.3,0.941049519,8
5,3.1,16.1,20.42307116,8
6,3.75,22.5,25.16509793,8
7,3.1,3.7,7.028323263,8
8,2.8,11.1,7.747596875,8
9,3.5,11.6,2.882058943,8
10,3.75,1.6,3.233005777,8
11,2.9,8.8,6.492429428,8
12,3.5,2.9,8.515664235,8
13,4,0,4.020015123,8
14,3.057692308,1.7,6.118183782,8
15,3,0.7,4.390530488,8
16,2.942307692,3.5,0.428919945,8
17,3.9,4.1,12.43501763,8
18,3.4,3.3,13.70315549,8
19,3.1,25.6,24.25620237,8
20,3.5,11.7,10.75244098,8
21,3.403846154,5.9,8.555218758,8
22,3.4,9.6,3.701491426,8
1,3.557692308,1.2,1.590979065,9
2,3.173076923,5.4,2.297620695,9
3,3.923076923,8,8.168708611,9
4,2.942307692,6.3,3.131082726,9
5,3.1,16.1,10.26596873,9
6,3.75,22.5,7.832567298,9
7,3.1,3.7,4.116116651,9
8,2.8,11.1,5.870585733,9
9,3.5,11.6,11.85217589,9
10,3.75,1.6,2.262806387,9
11,2.9,8.8,20.95599295,9
12,3.5,2.9,3.083455033,9
13,4,0,4.409732737,9
14,3.057692308,1.7,0.560382295,9
15,3,0.7,5.050059144,9
16,2.942307692,3.5,13.87303577,9
17,3.9,4.1,3.707483146,9
18,3.4,3.3,3.095644172,9
19,3.1,25.6,20.44709386,9
20,3.5,11.7,16.17303568,9
21,3.403846154,5.9,12.93522815,9
22,3.4,9.6,6.974096957,9
1,3.557692308,1.2,0.144524016,10
2,3.173076923,5.4,12.36467046,10
3,3.923076923,8,9.246897738,10
4,2.942307692,6.3,6.170445747,10
5,3.1,16.1,17.90178778,10
6,3.75,22.5,13.06612836,10
7,3.1,3.7,5.375202598,10
8,2.8,11.1,8.806371997,10
9,3.5,11.6,14.8014434,10
10,3.75,1.6,1.638513425,10
11,2.9,8.8,11.12332115,10
12,3.5,2.9,5.045112838,10
13,4,0,4.279331537,10
14,3.057692308,1.7,4.607059921,10
15,3,0.7,2.922491604,10
16,2.942307692,3.5,4.967115781,10
17,3.9,4.1,11.39197239,10
18,3.4,3.3,8.852032007,10
19,3.1,25.6,11.64154143,10
20,3.5,11.7,11.04250863,10
21,3.403846154,5.9,11.63037791,10
22,3.4,9.6,4.512206229,10
